,ID,Lat,Long,Label,Airport,Conventions,Entertainment,Fitness,Food,Government,Health,Hotels,Nightlife,Outdoor,Residence,School,Shops,Transports,University,Work,Total,Cost
50,0052,44.428463,8.749455000000001,1,0.0,0.0,3.0,3.0,27.0,3.0,7.0,1.0,5.0,11.0,0.0,1.0,19.0,4.0,3.0,4.0,91.0,1100.0
51,0053,44.428284000000005,8.751525,1,0.0,0.0,3.0,5.0,23.0,3.0,5.0,1.0,5.0,11.0,0.0,2.0,16.0,4.0,2.0,3.0,83.0,1100.0
52,0054,44.428379,8.755668,1,0.0,0.0,4.0,6.0,19.0,3.0,3.0,1.0,3.0,7.0,1.0,1.0,19.0,7.0,1.0,2.0,77.0,1100.0
53,0055,44.428684000000004,8.760027000000001,0,0.0,0.0,3.0,5.0,11.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,9.0,6.0,0.0,1.0,45.0,835.0
54,0056,44.428131,8.763850999999999,0,0.0,0.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,7.0,0.0,0.0,26.0,820.0
55,0057,44.427986,8.767261999999999,0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,5.0,0.0,2.0,23.0,820.0
56,0058,44.427792,8.771286,0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,7.0,2.0,2.0,30.0,820.0
57,0059,44.427322,8.774429,0,0.0,0.0,1.0,2.0,9.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,10.0,5.0,2.0,2.0,36.0,820.0
58,0060,44.42733,8.779619,0,0.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,9.0,4.0,1.0,0.0,34.0,820.0
59,0061,44.426823,8.786268,0,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,6.0,3.0,0.0,0.0,29.0,820.0
60,0062,44.426497999999995,8.789277,0,0.0,0.0,1.0,1.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,4.0,0.0,0.0,26.0,820.0
61,0063,44.425789,8.793674000000001,0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,1.0,21.0,820.0
62,0064,44.424618,8.800028,0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,6.0,1.0,0.0,1.0,24.0,905.0
63,0065,44.424004,8.803532,0,0.0,0.0,1.0,3.0,7.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,6.0,0.0,0.0,1.0,27.0,905.0
64,0066,44.42321,8.807417,0,0.0,1.0,2.0,2.0,15.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,35.0,905.0
65,0067,44.424625,8.812596000000001,1,0.0,1.0,6.0,2.0,38.0,1.0,6.0,3.0,8.0,15.0,3.0,0.0,20.0,3.0,1.0,4.0,111.0,1325.0
66,0068,44.424919,8.816892999999999,1,0.0,1.0,6.0,3.0,43.0,1.0,7.0,3.0,9.0,18.0,3.0,0.0,23.0,4.0,2.0,5.0,128.0,1325.0
67,0069,44.424679,8.819118,1,0.0,0.0,8.0,3.0,38.0,1.0,7.0,2.0,7.0,16.0,3.0,0.0,23.0,3.0,1.0,3.0,115.0,1325.0
68,0070,44.425312,8.825922,0,0.0,0.0,3.0,4.0,17.0,0.0,1.0,0.0,2.0,6.0,1.0,1.0,8.0,2.0,2.0,1.0,48.0,905.0
69,0071,44.426029,8.831294,0,0.0,0.0,1.0,4.0,9.0,2.0,1.0,0.0,2.0,6.0,1.0,1.0,9.0,4.0,2.0,5.0,47.0,905.0
70,0072,44.427319,8.836300999999999,1,0.0,0.0,0.0,4.0,14.0,2.0,2.0,0.0,2.0,4.0,1.0,0.0,29.0,2.0,1.0,5.0,66.0,1325.0
71,0073,44.426651,8.840717999999999,1,0.0,0.0,2.0,5.0,36.0,2.0,8.0,1.0,5.0,5.0,0.0,0.0,30.0,5.0,0.0,8.0,107.0,1325.0
72,0074,44.426056,8.843132,1,0.0,0.0,3.0,5.0,39.0,1.0,11.0,1.0,9.0,5.0,1.0,1.0,27.0,6.0,2.0,10.0,121.0,1325.0
73,0075,44.424252,8.849061,1,0.0,0.0,6.0,6.0,47.0,4.0,13.0,1.0,11.0,9.0,5.0,1.0,29.0,15.0,2.0,18.0,167.0,1325.0
74,0076,44.423378,8.852267999999999,1,1.0,0.0,4.0,6.0,43.0,2.0,7.0,1.0,7.0,9.0,6.0,1.0,25.0,13.0,3.0,17.0,145.0,1325.0
75,0077,44.421535,8.856711,1,1.0,0.0,2.0,3.0,32.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,17.0,4.0,1.0,12.0,81.0,1325.0
76,0078,44.420303000000004,8.858294,0,1.0,0.0,1.0,2.0,14.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,14.0,2.0,1.0,6.0,45.0,1325.0
77,0079,44.415337,8.866675,1,0.0,0.0,2.0,4.0,13.0,1.0,6.0,1.0,0.0,2.0,0.0,1.0,19.0,3.0,0.0,1.0,53.0,780.0
78,0080,44.415539,8.868694999999999,1,0.0,0.0,3.0,5.0,16.0,1.0,6.0,1.0,0.0,3.0,0.0,1.0,21.0,4.0,0.0,2.0,63.0,780.0
